Customer Number,Peak,Min,MaxROC,HourBeforeMaxROC,Avg,Variance,TotalEnergy,LoadFactor,Class
1,1080,0,1080,1,685.42,78203,16009,0.61763,3
2,918,-88,-228,2,428.67,83184,9532,0.43264,4
3,1372,192,472,7,559.92,92726,12895,0.39161,4
4,1580,110,580,7,505.33,1.51E+05,11766,0.31028,4
5,1254,146,1108,6,452,1.04E+05,10613,0.35264,3
6,1068,30,736,6,341.25,76473,7958,0.31047,3
7,674,88,288,7,257.33,20251,5995,0.37061,3
8,444,-2,154,3,235.25,18497,5357,0.50272,3
9,1570,338,574,20,602.33,99049,13777,0.36563,4
10,1734,478,572,7,816.58,1.06E+05,18818,0.45218,4
11,1644,436,446,7,782.33,94310,18045,0.45734,4
12,1484,322,454,7,728.17,1.08E+05,16951,0.47594,4
13,908,236,228,7,455.08,27698,10590,0.48596,3
14,868,208,394,7,365.67,24415,8463,0.40625,3
15,564,120,-170,10,339.33,20194,7708,0.56944,3
16,656,154,132,4,350.92,16747,8023,0.50959,3
17,746,226,352,1,402.5,23009,9333,0.52128,3
18,746,242,-236,9,378.08,16923,8793,0.49112,3
19,938,252,-372,10,514.33,29101,11877,0.52759,3
20,1386,284,-406,9,639,1.06E+05,14811,0.44526,4
21,996,130,-284,9,391.17,53207,9105,0.3809,4
22,632,-20,-246,9,281.83,38575,6329,0.41726,4
23,690,-16,-288,10,390.75,41143,8911,0.5381,4
24,1196,292,490,7,538.5,46032,12469,0.4344,3
25,1452,238,-594,9,580.92,1.07E+05,13447,0.38588,4
26,974,176,336,7,436.75,42931,10086,0.43147,3
27,876,100,-300,10,349.17,34047,8034,0.38213,4
28,590,-46,-346,19,253.92,29262,5802,0.40975,4
29,400,-158,300,17,170.33,25371,3769,0.3926,2
30,788,-30,354,3,340.08,51539,7827,0.41386,3
31,1610,496,842,7,867.33,84694,19947,0.51623,3
32,1792,502,970,4,1079.3,1.19E+05,24751,0.5755,3
33,1852,384,864,22,1024.8,1.56E+05,23709,0.53341,4
34,1744,474,-822,9,783.5,1.16E+05,18303,0.43728,4
35,558,370,-94,14,476.67,3731.7,10986,0.82034,3
36,534,190,-154,11,409.25,9910.5,9366,0.73081,3
37,674,510,-38,12,589.67,1615.5,13544,0.83729,3
38,752,472,170,23,615.33,11369,14075,0.77986,3
39,1038,758,68,1,959.83,5082.1,22138,0.88865,3
40,1066,170,-598,19,731.25,86287,16713,0.65326,4
41,1454,148,-630,9,614.83,1.23E+05,14429,0.41349,4
42,1122,166,458,6,486,53727,11254,0.41793,3
43,596,132,-324,9,356.5,26479,8250,0.57676,3
44,464,-150,250,21,227.42,40106,5071,0.45537,2
45,958,-4,-358,12,349,62056,8063,0.35069,4
46,690,-60,-386,8,231.75,26611,5343,0.32264,4
47,504,-98,-348,11,208.42,26333,4837,0.39988,4
48,454,-62,268,7,211.5,12071,4862,0.44622,3
49,648,-78,-238,9,228.33,26386,5220,0.33565,4
50,564,-168,-296,23,161.67,36063,3674,0.27142,1
51,412,-86,-130,10,194,25541,4313,0.43619,2
52,468,-50,-180,10,258.92,32261,5842,0.52012,3
53,410,22,-142,9,251.67,16489,5734,0.58272,3
54,390,14,-124,9,244.58,15373,5562,0.59423,3
55,466,68,132,17,309.42,13143,7059,0.63117,2
56,540,404,-50,11,467.75,1457.2,10812,0.83426,3
57,402,-170,-152,10,180.5,34100,4002,0.4148,4
58,342,92,104,16,232,5351.3,5267,0.64169,2
59,352,-48,-186,11,215.75,18149,4864,0.57576,3
60,348,-28,-138,9,202.58,15420,4591,0.54969,3
61,408,-14,162,18,207,11832,4755,0.4856,2
62,276,-76,-134,3,133.42,7591.8,3054,0.46105,3
63,222,-44,118,17,111.58,6320.7,2531,0.47504,2
64,150,-206,-108,11,67.917,12665,1485,0.4125,2
65,152,-66,-84,9,97.167,4918.2,2187,0.59951,2
66,270,142,-60,19,204.33,2664.6,4759,0.73441,2
67,258,-42,-226,13,167.42,3744.5,3866,0.62435,2
68,222,-108,208,16,98.917,12839,2228,0.41817,2
69,226,-96,-98,9,98.75,10831,2217,0.40874,2
70,214,-28,104,17,116.75,5824.3,2648,0.51558,2
71,154,-180,182,13,81.5,10777,1807,0.48891,2
72,154,-200,124,15,51.583,15965,1091,0.29518,2
73,234,-88,-224,12,124.83,8676.1,2848,0.50712,2
74,214,-58,-174,13,136.67,4354.7,3127,0.60884,2
75,218,-92,-108,13,119.58,7550.3,2714,0.51873,2
76,224,-104,158,16,111,10985,2514,0.46763,2
77,236,-114,-236,13,122.58,10944,2782,0.49117,2
78,154,-188,112,19,50.417,15818,1059,0.28653,2
79,152,-140,130,16,69.083,11811,1507,0.4131,2
80,226,-106,-124,12,106.83,10793,2419,0.44598,2
81,210,-124,-178,11,98.167,11747,2201,0.43671,3
82,214,-118,-96,10,89.333,12692,1986,0.38668,3
83,212,-84,246,16,118.25,7823.8,2683,0.52732,2
84,204,-78,226,14,144.25,3387.2,3310,0.67606,2
85,160,-194,-124,9,58.833,16093,1263,0.32891,2
86,154,-196,110,18,40,19189,811,0.21943,1
87,256,-52,-98,12,137.08,5327.6,3137,0.51058,2
88,212,-116,122,17,84.25,12744,1870,0.36753,2
89,246,-66,158,18,118.25,8240.5,2684,0.45461,2
90,392,-90,188,15,152.75,16679,3497,0.3717,2
91,256,-58,-190,10,128.75,7498.4,2935,0.4777,3
92,356,-194,-178,10,71.167,23304,1553,0.18176,4
93,424,8,-146,9,227.42,12074,5173,0.50835,2
94,704,-108,-210,13,278,51743,6405,0.37908,4
95,422,-84,-238,9,131.83,20046,3011,0.29729,3
96,354,150,128,3,217.67,4209.3,5067,0.5964,3
97,520,-104,-314,11,176.33,28564,4065,0.32572,4
98,488,-92,-268,10,150.08,22626,3421,0.29209,4
99,284,-198,-170,10,73.333,24414,1544,0.22653,1
100,276,-212,-140,9,98.833,25337,2151,0.32473,3
101,610,168,258,7,290.08,11084,6737,0.46018,3
102,412,146,144,7,236.33,4500.4,5504,0.55663,3
103,384,148,138,7,243.67,3705.3,5679,0.61621,3
104,548,-94,-212,15,255.33,29682,5945,0.45202,4
105,670,-146,256,7,167.75,48749,3861,0.24011,3
106,274,-216,-178,9,75.417,23935,1644,0.25,3
107,304,-228,-168,14,76.25,22781,1679,0.23013,4
108,484,-30,-280,9,172.92,14618,3969,0.34168,3
109,410,-46,-212,10,153.58,12246,3486,0.35427,3
110,536,20,-234,11,230.25,16216,5306,0.41247,3
111,480,-118,228,7,152.08,27035,3482,0.30226,3
112,430,-138,210,7,116.67,22076,2597,0.25165,3
113,314,-154,-196,13,139.5,18517,3149,0.41786,3
114,376,42,-74,12,247.67,12397,5584,0.61879,3
115,710,-88,300,7,250.92,40017,5755,0.33773,3
116,464,-18,-150,10,186.5,13167,4273,0.38371,3
117,504,-142,-226,9,138.83,32188,3130,0.25876,4
118,508,-118,-236,9,142.58,27867,3252,0.26673,4
119,310,-42,-182,8,135.42,7870.4,3085,0.41465,3
120,346,-190,-184,11,119,28169,2626,0.31623,4
121,348,-118,-168,9,167.67,28037,3678,0.44037,3
